タイトル,当期全世界計,国内,海外,累計全世界計
ポケットモンスター スカーレット・バイオレット,2210,735,1475,2210
スプラトゥーン3,1067,654,413,1067
Nintendo Switch Sports,960,172,788,960
マリオカート8 デラックス,845,122,723,5379
星のカービィ ディスカバリー,381,81,300,646
あつまれ どうぶつの森,358,52,305,4221
マリオパーティ スーパースターズ,329,44,285,1017
ゼルダの伝説 ブレス オブ ザ ワイルド,324,48,276,2981
大乱闘スマッシュブラザーズ SPECIAL,292,60,232,3109
マリオストライカーズ バトルリーグ,254,17,237,254
スーパーマリオ オデッセイ,225,22,203,2576
Pokmon LEGENDS アルセウス,219,18,202,1483
New スーパーマリオブラザーズ U デラックス,211,17,194,1541
スーパーマリオ 3Dワールド + フューリーワールド,195,21,174,1138
Xenoblade3（ゼノブレイド3）,186,52,134,186
ファイアーエムブレム エンゲージ,161,43,118,161
星のカービィ Wii デラックス,146,54,92,146
ルイージマンション3,140,16,124,1282
スーパー マリオパーティ,136,16,120,1914
リングフィット アドベンチャー,129,38,90,1538
メトロイドプライム リマスタード,109,5,104,109
ベヨネッタ3,107,16,91,107
