タイトル,当期全世界計,国内,海外,累計全世界計
ゼルダの伝説 ティアーズ オブ ザ キングダム,2061,371,1690,2061
Super Mario Bros. Wonder,1344,268,1075,1344
マリオカート8 デラックス,818,93,725,6197
Nintendo Switch Sports,351,38,313,1311
Pikmin 4,348,187,161,348
スーパーマリオRPG,331,86,245,331
あつまれ どうぶつの森,315,60,255,4536
大乱闘スマッシュブラザーズ SPECIAL,313,60,253,3422
ポケットモンスター スカーレット・バイオレット,282,84,198,2492
マリオパーティ スーパースターズ,272,41,232,1289
スーパーマリオ オデッセイ,220,25,195,2796
スーパーマリオ 3Dワールド + フューリーワールド,210,17,192,1347
ゼルダの伝説 ブレス オブ ザ ワイルド,204,34,170,3185
New スーパーマリオブラザーズU デラックス,203,16,188,1745
スーパーマリオパーティ,152,23,129,2066
ルイージマンション3,142,17,125,1425
Splatoon3,129,55,74,1196
プリンセスピーチ Showtime!,122,21,101,122
マリオvs.ドンキーコング,112,21,91,112
星のカービィ ディスカバリー,106,18,88,752
