タイトル,当期全世界計,国内,海外,累計全世界計
スーパー マリオパーティ ジャンボリー,748,190,557,748
マリオカート8 デラックス,623,71,552,6820
ゼルダの伝説 知恵のかりもの,409,75,334,409
Nintendo Switch Sports,316,51,265,1627
Super Mario Bros. Wonder,260,29,231,1603
あつまれ どうぶつの森,247,60,187,4782
ペーパーマリオRPG,210,45,166,210
大乱闘スマッシュブラザーズ SPECIAL,202,50,151,3624
マリオ&ルイージRPG ブラザーシップ!,197,31,165,197
ルイージマンション2 HD,188,32,156,188
ポケットモンスター スカーレット・バイオレット,187,47,140,2679
スーパーマリオ オデッセイ,133,17,115,2928
ドンキーコング リターンズ HD,127,36,92,127
ゼルダの伝説 ティアーズ オブ ザ キングダム,112,21,92,2173
マリオパーティ スーパースターズ,110,15,96,1400
