タイトル,当期全世界計,国内,海外,累計全世界計
ポケットモンスター ブリリアントダイヤモンド・シャイニングパール,1397,379.0,1018,1397
マリオカート8 デラックス,796,86.0,710,4335
マリオパーティ スーパースターズ,543,113.0,430,543
あつまれ どうぶつの森,499,70.0,430,3762
ゼルダの伝説 スカイウォードソード HD,385,44.0,340,385
大乱闘スマッシュブラザーズ SPECIAL,356,77.0,279,2740
ゼルダの伝説 ブレス オブ ザ ワイルド,352,40.0,311,2580
リングフィット アドベンチャー,342,80.0,262,1353
スーパーマリオ 3Dワールド + フューリーワールド,326,54.0,272,885
ポケットモンスター ソード・シールド,280,42.0,238,2390
メトロイド ドレッド,274,26.0,248,274
スーパーマリオパーティ,259,29.0,230,1739
New ポケモンスナップ,236,,236,236
New スーパーマリオブラザーズU デラックス,228,14.0,213,1272
マリオゴルフ スーパーラッシュ,226,30.0,196,226
スーパーマリオ オデッセイ,219,15.0,204,2302
ミートピア,163,38.0,125,163
ルイージマンション３,145,9.0,136,1104
やわらかあたま塾 いっしょにあたまのストレッチ,128,38.0,90,128
おすそわける　メイド イン ワリオ,124,30.0,94,124
ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ,105,3.0,102,1433
ナビつき！ つくってわかる はじめてゲームプログラミング,101,44.0,58,101
