タイトル,当期全世界計,国内,海外,累計全世界計
あつまれ どうぶつの森,2085,553,1532,3263
マリオカート8 デラックス,1062,130,932,3539
スーパーマリオ 3Dコレクション,901,94,807,901
リングフィット アドベンチャー,738,192,546,1011
スーパーマリオ 3Dワールド + フューリーワールド,559,86,473,559
大乱闘スマッシュブラザーズ SPECIAL,501,98,403,2384
ゼルダの伝説 ブレス オブ ザ ワイルド,486,49,437,2228
スーパーマリオパーティ,469,61,408,1479
New スーパーマリオブラザーズU デラックス,384,29,355,1044
ポケットモンスター ソード・シールド,373,62,311,2110
スーパーマリオ オデッセイ,342,20,322,2083
ルイージマンション3,326,17,309,959
世界のアソビ大全51,314,120,193,314
ペーパーマリオ オリガミキング,312,48,264,312
ゼルダ無双 厄災の黙示録,307,0,307,307
Splatoon2,208,80,128,1221
ピクミン3 デラックス,204,86,118,204
スーパーマリオメーカー2,167,27,141,715
Xenoblade Definitive Edition,152,34,119,152
ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ,131,8,123,1328
マリオカート ライブ ホームサーキット,127,21,106,127
ゼルダの伝説 夢をみる島,111,4,107,549
